key,en,es
appinfo.features.offline.title,offline communication,comunicación sin conexión
appinfo.features.title,FEATURES,FUNCIONES
appinfo.howto.bullet.clear,• triple-tap chat to clear,• triple toque para borrar
appinfo.howto.bullet.commands,• type / for commands,• escribe / para comandos
appinfo.howto.bullet.dm,• tap a peer's name to start a DM,• toca un nombre para iniciar DM
appinfo.howto.bullet.mesh,• tap #mesh to change channels,• toca #mesh para cambiar de canal
appinfo.howto.bullet.nickname,• set your nickname by tapping it,• toca para fijar tu apodo
appinfo.howto.bullet.sidebar,• tap people icon for sidebar,• toca el icono de personas para la barre latérale
appinfo.howto.title,HOW TO USE,CÓMO USAR
appinfo.privacy.ephemeral.desc,new peer ID generated regularly,nuevo ID generado regularmente
appinfo.privacy.ephemeral.title,ephemeral identity,identidad efímera
appinfo.privacy.no_tracking.desc,"no servers, accounts, or data collection","sin servidores, cuentas ni recopilación de datos"
appinfo.privacy.no_tracking.title,no tracking,sin seguimiento
appinfo.privacy.panic.desc,triple-tap logo to instantly clear all data,toca tres veces el logo para borrar todo
appinfo.privacy.panic.title,panic mode,modo pánico
appinfo.privacy.title,PRIVACY,PRIVACIDAD
appinfo.tagline,sidegroupchat,sidegroupchat
appinfo.warning.message,private message security has not yet been fully audited. do not use for critical situations until this warning disappears.,la seguridad de mensajes privados no ha sido auditada por completo. no usar en casos críticos hasta nuevo aviso.
appinfo.warning.title,WARNING,ADVERTENCIA
channel.mesh,Mesh,Malla
cmd.block.already,%@ is already blocked,%@ is already blocked
cmd.block.help,Block or list blocked peers. Usage: /block [nickname],Bloquea o lista usuarios bloqueados. Uso: /block [apodo]
cmd.block.list,blocked peers: %@ | geohash blocks: %@,blocked peers: %@ | geohash blocks: %@
cmd.block.not_found,cannot block %@: not found or unable to verify identity,cannot block %@: not found or unable to verify identity
cmd.block.success,blocked %@. you will no longer receive messages from them,blocked %@. you will no longer receive messages from them
cmd.block.success_geohash,blocked %@ in geohash chats,blocked %@ in geohash chats
cmd.block.title,Block,Bloquear
cmd.clear.help,Clear chat messages. Usage: /clear,Borra los mensajes. Uso: /clear
cmd.clear.title,Clear,Limpiar
cmd.emote.not_found,cannot %@ %@: not found,cannot %@ %@: not found
cmd.emote.usage,usage: /%@ <nickname>,usage: /%@ <nickname>
cmd.error.invalid,Invalid command,Invalid command
cmd.error.not_found,'%@' not found,'%@' not found
cmd.error.unknown_command,unknown command: %@,unknown command: %@
cmd.fav.added,added %@ to favorites,added %@ to favorites
cmd.fav.help,Add to favorites. Usage: /fav <nickname>,Añadir a favoritos. Uso: /fav <apodo>
cmd.fav.removed,removed %@ from favorites,removed %@ from favorites
cmd.fav.title,Favorite,Favori
cmd.fav.usage,usage: /%@ <nickname>,usage: /%@ <nickname>
cmd.help.help,Show this help. Usage: /help,Mostrar esta ayuda. Uso: /help
cmd.help.summary,"commands:
/msg @name - start private chat
/who - list who's online
/clear - clear messages
/hug @name - send a hug
/slap @name - slap with a trout
/fav @name - add to favorites
/unfav @name - remove from favorites
/block @name - block
/unblock @name - unblock","commands:
/msg @name - start private chat
/who - list who's online
/clear - clear messages
/hug @name - send a hug
/slap @name - slap with a trout
/fav @name - add to favorites
/unfav @name - remove from favorites
/block @name - block
/unblock @name - unblock"
cmd.help.title,Help,Ayuda
cmd.hug.help,Send someone a warm hug. Usage: /hug <nickname>,Envía un abrazo. Uso: /hug <apodo>
cmd.hug.title,Hug,Abrazo
cmd.invalid,Invalid command,Invalid command
cmd.msg.help,Send private message. Usage: /m <nickname> [message],Enviar mensaje privado. Uso: /m <apodo> [mensaje]
cmd.msg.started,started private chat with %@,started private chat with %@
cmd.msg.title,Private Message,Mensaje privado
cmd.msg.usage,usage: /msg @nickname [message],usage: /msg @nickname [message]
cmd.peer.not_found,can't find peer: %@,can't find peer: %@
cmd.slap.help,Slap someone with a trout. Usage: /slap <nickname>,Abofetea con una trucha. Uso: /slap <apodo>
cmd.slap.title,Slap,Bofetada
cmd.unblock.help,Unblock a peer. Usage: /unblock <nickname>,Desbloquear un usuario. Uso: /unblock <apodo>
cmd.unblock.not_blocked,%@ is not blocked,%@ is not blocked
cmd.unblock.not_found,cannot unblock %@: not found,cannot unblock %@: not found
cmd.unblock.success,unblocked %@,unblocked %@
cmd.unblock.success_geohash,unblocked %@ in geohash chats,unblocked %@ in geohash chats
cmd.unblock.title,Unblock,Desbloquear
cmd.unblock.usage,usage: /unblock <nickname>,usage: /unblock <nickname>
cmd.unfav.help,Remove from favorites. Usage: /unfav <nickname>,Quitar de favoritos. Uso: /unfav <apodo>
cmd.unfav.title,Unfavorite,Quitar de favoritos
cmd.unknown,unknown command: %@,unknown command: %@
cmd.who.help,See who's online. Usage: /w,Ver quién está en línea. Uso: /w
cmd.who.none_online,no one else is online right now,no one else is online right now
cmd.who.online_list,online: %@,online: %@
cmd.who.title,Who,Quién
common.cancel,Cancel,Cancelar
common.close,close,cerrar
common.copy,Copy,Copiar
common.done,DONE,OK
common.none,none,none
common.ok,OK,Aceptar
common.open_settings,open settings,abrir ajustes
common.show_less,Show less,Mostrar menos
common.show_more,Show more,Mostrar más
common.unknown,Unknown,Desconocido
delivery.delivered_to,Delivered to %@,Entregado a %@
delivery.failed,Failed: %@,Falló: %@
delivery.partial_members.one,Delivered to %d of %d member,Entregado a %d de %d miembro
delivery.partial_members.other,Delivered to %d of %d members,Entregado a %d de %d miembros
delivery.partial_ratio,Delivered to %d/%d,Entregado a %d/%d
delivery.read_by,Read by %@,Leído por %@
delivery.sending,Sending...,Enviando...
delivery.sent,Sent,Enviado
encryption.status.handshaking,Establishing encryption...,Establishing encryption...
encryption.status.no_handshake,Not encrypted,Not encrypted
encryption.status.none,Encryption failed,Encryption failed
encryption.status.secured,Encrypted,Encrypted
encryption.status.verified,Encrypted & Verified,Encrypted & Verified
errors.invalid_geohash,invalid geohash,geohash no válido
fp.compare_instruction,compare these fingerprints with %@ using a secure channel.,compara estas huellas con %@ usando un canal seguro.
fp.handshake_in_progress,not available - handshake in progress,no disponible - apretón de manos en curso
fp.mark_verified,MARK AS VERIFIED,MARCAR COMO VERIFICADO
fp.not_verified,⚠️ NOT VERIFIED,⚠️ NO VERIFICADO
fp.status.secured,secured,asegurado
fp.status.unencrypted,not encrypted,no cifrado
fp.status.verified,verified,verificado
fp.their,THEIR FINGERPRINT:,HUELLA (ELLOS):
fp.title,SECURITY VERIFICATION,VERIFICACIÓN DE SEGURIDAD
fp.verified,✓ VERIFIED,✓ VERIFICADO
fp.verified.detail,you have verified this person's identity.,has verificado la identidad de esta persona.
fp.yours,YOUR FINGERPRINT:,TU HUELLA:
help.title,How to Use,Cómo usar
label.you_suffix, (you), (tú)
location.about,"chat with people near you using geohash channels. only a coarse geohash is shared, never exact gps.","chatea con personas cercanas usando canales geohash. solo se comparte un geohash aproximado, nunca GPS exacto."
location.enable_action,get location and my geohashes,obtener ubicación y mis geohashes
location.finding,finding nearby channels…,buscando canales cercanos…
location.level.block,Block,Bloque
location.level.city,City,Ciudad
location.level.country,Country,País
location.level.neighborhood,Neighborhood,Barrio
location.level.region,Region,Región
location.mesh,mesh,malla
location.permission_denied,location permission denied. enable in settings to use location channels.,permiso de ubicación denegado. habilite en ajustes para usar canales de ubicación.
location.remove_access,remove location access,quitar acceso a la ubicación
location.teleport,teleport,teletransportarse
nav.home,Home,Inicio
nav.location_channels,#location channels,#canales de ubicación
nav.people,PEOPLE,PERSONAS
nav.settings,Settings,Ajustes
notif.favorite_online.body,wanna get in there?,wanna get in there?
notif.favorite_online.title,⭐ %@ is online!,⭐ %@ is online!
notif.mention.title,🫵 you were mentioned by %@,🫵 you were mentioned by %@
notif.network_available.body.one,1 person around,1 person around
notif.network_available.body.other,%d people around,%d people around
notif.network_available.title,👥 bitchatters nearby!,👥 bitchatters nearby!
notif.private_message.title,🔒 private message from %@,🔒 private message from %@
payment.cashu,pay via cashu,pagar con cashu
payment.lightning,pay via lightning,pagar con lightning
peer.blocked,Blocked,Bloqueado
peer.blocked_geohash,Blocked in geohash,Bloqueado en geohash
people.none_around,nobody around...,nadie cerca...
placeholder.geohash,geohash,geohash
placeholder.nickname,nickname,apodo
placeholder.type_message,type a message,escribe un mensaje
share.link_title,Shared Link,Enlace compartido
share.placeholder,Share to bitchat...,Compartir en bitchat...
share.success,✓ Shared to bitchat,✓ Compartido en bitchat
system.blocked_geohash,blocked %@ in geohash chats,bloqueado %@ en chats geohash
system.cannot_send_blocked,cannot send message: user is blocked.,no se puede enviar el mensaje: el usuario está bloqueado.
system.cannot_send_blocked_to,cannot send message to %@: user is blocked.,no se puede enviar el mensaje a %@: el usuario está bloqueado.
system.cannot_send_not_in_location,cannot send: not in a location channel,no se puede enviar: no estás en un canal de ubicación
system.cannot_send_unreachable,Cannot send message to %@ - peer is not reachable via mesh or Nostr.,No se puede enviar el mensaje a %@: el par no es alcanzable por malla o Nostr.
system.cannot_start_blocked,cannot start chat with %@: user is blocked.,no se puede iniciar chat con %@: el usuario está bloqueado.
system.cannot_start_need_mutual,cannot start chat with %@: mutual favorite required for offline messaging.,no se puede iniciar chat con %@: se requiere favorito mutuo para mensajería offline.
system.favorited_you,%@ favorited you,%@ te marcó como favorito
system.send_failed_location,failed to send to location channel,falló el envío al canal de ubicación
system.unblocked_geohash,unblocked %@ in geohash chats,desbloqueado %@ en chats geohash
system.unfavorited_you,%@ unfavorited you,%@ te quitó de favoritos
test.baseOnly,Base Fallback,Base Fallback
test.sample,Sample,Ejemplo
