key,en,fr
cmd.fav.help,Add to favorites. Usage: /fav <nickname>,Ajouter aux favoris. Utilisation : /fav <pseudo>
cmd.fav.removed,removed %@ from favorites,removed %@ from favorites
cmd.fav.title,Favorite,Favori
cmd.fav.usage,usage: /%@ <nickname>,usage: /%@ <nickname>
cmd.help.help,Show this help. Usage: /help,Afficher cette aide. Utilisation : /help
cmd.help.summary,"commands:
/msg @name - start private chat
/who - list who's online
/clear - clear messages
/hug @name - send a hug
/slap @name - slap with a trout
/fav @name - add to favorites
/unfav @name - remove from favorites
/block @name - block
/unblock @name - unblock","commands:
/msg @name - start private chat
/who - list who's online
/clear - clear messages
/hug @name - send a hug
/slap @name - slap with a trout
/fav @name - add to favorites
/unfav @name - remove from favorites
/block @name - block
/unblock @name - unblock"
cmd.help.title,Help,Aide
cmd.hug.help,Send someone a warm hug. Usage: /hug <nickname>,Envoyer un câlin. Utilisation : /hug <pseudo>
cmd.hug.title,Hug,Câlin
cmd.invalid,Invalid command,Invalid command
cmd.msg.help,Send private message. Usage: /m <nickname> [message],Envoyer un message privé. Utilisation : /m <pseudo> [message]
cmd.msg.started,started private chat with %@,started private chat with %@
cmd.msg.title,Private Message,Message privé
cmd.msg.usage,usage: /msg @nickname [message],usage: /msg @nickname [message]
cmd.peer.not_found,can't find peer: %@,can't find peer: %@
cmd.slap.help,Slap someone with a trout. Usage: /slap <nickname>,Giffler avec une truite. Utilisation : /slap <pseudo>
cmd.slap.title,Slap,Gifle
cmd.unblock.help,Unblock a peer. Usage: /unblock <nickname>,Débloquer un pair. Utilisation : /unblock <pseudo>
cmd.unblock.not_blocked,%@ is not blocked,%@ is not blocked
cmd.unblock.not_found,cannot unblock %@: not found,cannot unblock %@: not found
cmd.unblock.success,unblocked %@,unblocked %@
cmd.unblock.success_geohash,unblocked %@ in geohash chats,unblocked %@ in geohash chats
cmd.unblock.title,Unblock,Débloquer
cmd.unblock.usage,usage: /unblock <nickname>,usage: /unblock <nickname>
cmd.unfav.help,Remove from favorites. Usage: /unfav <nickname>,Retirer des favoris. Utilisation : /unfav <pseudo>
cmd.unfav.title,Unfavorite,Retirer des favoris
cmd.unknown,unknown command: %@,unknown command: %@
cmd.who.help,See who's online. Usage: /w,Voir qui est en ligne. Utilisation : /w
cmd.who.none_online,no one else is online right now,no one else is online right now
cmd.who.online_list,online: %@,online: %@
cmd.who.title,Who,Qui
common.cancel,Cancel,Annuler
common.close,close,fermer
common.copy,Copy,Copier
common.done,DONE,OK
common.none,none,none
common.ok,OK,OK
common.open_settings,open settings,ouvrir les réglages
common.show_less,Show less,Afficher moins
common.show_more,Show more,Afficher plus
common.unknown,Unknown,Inconnu
delivery.delivered_to,Delivered to %@,Livré à %@
delivery.failed,Failed: %@,Échec : %@
delivery.partial_members.one,Delivered to %d of %d member,Livré à %d sur %d membre
delivery.partial_members.other,Delivered to %d of %d members,Livré à %d sur %d membres
delivery.partial_ratio,Delivered to %d/%d,Livré %d/%d
delivery.read_by,Read by %@,Lu par %@
delivery.sending,Sending...,Envoi…
delivery.sent,Sent,Envoyé
encryption.status.handshaking,Establishing encryption...,Establishing encryption...
encryption.status.no_handshake,Not encrypted,Not encrypted
encryption.status.none,Encryption failed,Encryption failed
encryption.status.secured,Encrypted,Encrypted
encryption.status.verified,Encrypted & Verified,Encrypted & Verified
errors.invalid_geohash,invalid geohash,geohash invalide
fp.compare_instruction,compare these fingerprints with %@ using a secure channel.,comparez ces empreintes avec %@ via un canal sécurisé.
fp.handshake_in_progress,not available - handshake in progress,non disponible - poignée de main en cours
fp.mark_verified,MARK AS VERIFIED,MARQUER COMME VÉRIFIÉ
fp.not_verified,⚠️ NOT VERIFIED,⚠️ NON VÉRIFIÉ
fp.status.secured,secured,sécurisé
fp.status.unencrypted,not encrypted,non chiffré
fp.status.verified,verified,vérifié
fp.their,THEIR FINGERPRINT:,LEUR EMPREINTE :
fp.title,SECURITY VERIFICATION,VÉRIFICATION DE SÉCURITÉ
fp.verified,✓ VERIFIED,✓ VÉRIFIÉ
fp.verified.detail,you have verified this person's identity.,vous avez vérifié l’identité de cette personne.
fp.yours,YOUR FINGERPRINT:,VOTRE EMPREINTE :
help.title,How to Use,Mode d’emploi
label.you_suffix, (you), (vous)
location.about,"chat with people near you using geohash channels. only a coarse geohash is shared, never exact gps.","discutez avec des personnes proches via des canaux geohash. seul un geohash approximatif est partagé, jamais un GPS précis."
location.enable_action,get location and my geohashes,obtenir la position et mes geohashes
location.finding,finding nearby channels…,recherche de canaux à proximité…
location.level.block,Block,Bloc
location.level.city,City,Ville
location.level.country,Country,Pays
location.level.neighborhood,Neighborhood,Quartier
location.level.region,Region,Région
location.mesh,mesh,maillage
location.permission_denied,location permission denied. enable in settings to use location channels.,autorisation de localisation refusée. activez-la dans Réglages pour utiliser les canaux de localisation.
location.remove_access,remove location access,retirer l’accès à la localisation
location.teleport,teleport,téléporter
nav.home,Home,Accueil
nav.location_channels,#location channels,#canaux de localisation
nav.people,PEOPLE,PERSONNES
nav.settings,Settings,Réglages
notif.favorite_online.body,wanna get in there?,wanna get in there?
notif.favorite_online.title,⭐ %@ is online!,⭐ %@ is online!
notif.mention.title,🫵 you were mentioned by %@,🫵 you were mentioned by %@
notif.network_available.body.one,1 person around,1 person around
notif.network_available.body.other,%d people around,%d people around
notif.network_available.title,👥 bitchatters nearby!,👥 bitchatters nearby!
notif.private_message.title,🔒 private message from %@,🔒 private message from %@
payment.cashu,pay via cashu,payer via cashu
payment.lightning,pay via lightning,payer via lightning
peer.blocked,Blocked,Bloqué
peer.blocked_geohash,Blocked in geohash,Bloqué dans geohash
people.none_around,nobody around...,personne autour...
placeholder.geohash,geohash,geohash
placeholder.nickname,nickname,pseudo
placeholder.type_message,type a message,type a message
share.link_title,Shared Link,Lien partagé
share.placeholder,Share to bitchat...,Partager vers bitchat...
share.success,✓ Shared to bitchat,✓ Partagé vers bitchat
system.blocked_geohash,blocked %@ in geohash chats,%@ bloqué dans les discussions geohash
system.cannot_send_blocked,cannot send message: user is blocked.,impossible d’envoyer le message : utilisateur bloqué.
system.cannot_send_blocked_to,cannot send message to %@: user is blocked.,impossible d’envoyer le message à %@ : utilisateur bloqué.
system.cannot_send_not_in_location,cannot send: not in a location channel,envoi impossible : pas dans un canal de localisation
system.cannot_send_unreachable,Cannot send message to %@ - peer is not reachable via mesh or Nostr.,Impossible d’envoyer un message à %@ — pair inaccessible via mesh ou Nostr.
system.cannot_start_blocked,cannot start chat with %@: user is blocked.,impossible de démarrer une discussion avec %@ : utilisateur bloqué.
system.cannot_start_need_mutual,cannot start chat with %@: mutual favorite required for offline messaging.,impossible de démarrer une discussion avec %@ : favori mutuel requis pour messagerie hors ligne.
system.favorited_you,%@ favorited you,%@ vous a ajouté en favori
system.send_failed_location,failed to send to location channel,échec de l’envoi au canal de localisation
system.unblocked_geohash,unblocked %@ in geohash chats,%@ débloqué dans les discussions geohash
system.unfavorited_you,%@ unfavorited you,%@ vous a retiré des favoris
test.baseOnly,Base Fallback,Base Fallback
test.sample,Sample,Exemple
